Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool play,Intermediate,Group A,3,Single game,Dannel,French Fries 🇫🇷 🇧🇪,Dannel,15,5,,,,,Seadon Roza-Pereira,Dannel Tan,,Helena Laguerre,Alexis Kjorvel,
Pool play,Intermediate,Group A,4,Single game,Yellow Ballers,Dannel,Dannel,6,15,,,,,Wayne Yan Muk,Jacky Chen,,Seadon Roza-Pereira,Dannel Tan,
Pool play,Intermediate,Group A,4,Single game,krue krew,"fine ass, trust funds 🍑💵",krue krew,15,13,,,,,Drue Nooyen,Kristy Ip,,Agnes Pang,Muellysa Timmangen,Agnes TY
Pool play,Intermediate,Group A,4,Single game,Like It Short,French Fries 🇫🇷 🇧🇪,French Fries 🇫🇷 🇧🇪,0,1,,,,,Ian Lung,Betty Yan,,Helena Laguerre,Alexis Kjorvel,
Pool play,Intermediate,Group A,4,Single game,Sweet Maui Onion Kettle Chips,Ballistic Brothers,Ballistic Brothers,9,15,,,,,Joshua Chan,Connie Xiong,,Riley Foster,Dawson Foster,
Pool play,Intermediate,Group A,5,Single game,Yellow Ballers,Sweet Maui Onion Kettle Chips,Yellow Ballers,15,6,,,,,Wayne Yan Muk,Jacky Chen,,Joshua Chan,Connie Xiong,
Pool play,Intermediate,Group A,5,Single game,krue krew,Ballistic Brothers,Ballistic Brothers,9,15,,,,,Drue Nooyen,Kristy Ip,,Riley Foster,Dawson Foster,
Pool play,Intermediate,Group A,5,Single game,Like It Short,Dannel,Dannel,0,1,,,,,Ian Lung,Betty Yan,,Seadon Roza-Pereira,Dannel Tan,
Pool play,Intermediate,Group A,5,Single game,French Fries 🇫🇷 🇧🇪,"fine ass, trust funds 🍑💵","fine ass, trust funds 🍑💵",7,15,,,,,Helena Laguerre,Alexis Kjorvel,,Agnes Pang,Muellysa Timmangen,Agnes TY
Pool play,Intermediate,Group A,6,Single game,Yellow Ballers,Like It Short,Yellow Ballers,1,0,,,,,Wayne Yan Muk,Jacky Chen,,Ian Lung,Betty Yan,
Pool play,Intermediate,Group A,6,Single game,krue krew,Sweet Maui Onion Kettle Chips,krue krew,15,8,,,,,Drue Nooyen,Kristy Ip,,Joshua Chan,Connie Xiong,
Pool play,Intermediate,Group A,6,Single game,Dannel,"fine ass, trust funds 🍑💵",Dannel,15,12,,,,,Seadon Roza-Pereira,Dannel Tan,,Agnes Pang,Muellysa Timmangen,Agnes TY
Pool play,Intermediate,Group A,6,Single game,Ballistic Brothers,French Fries 🇫🇷 🇧🇪,Ballistic Brothers,15,3,,,,,Riley Foster,Dawson Foster,,Helena Laguerre,Alexis Kjorvel,
Pool play,Intermediate,Group A,7,Single game,Yellow Ballers,krue krew,Yellow Ballers,15,14,,,,,Wayne Yan Muk,Jacky Chen,,Drue Nooyen,Kristy Ip,
Pool play,Intermediate,Group A,7,Single game,Sweet Maui Onion Kettle Chips,French Fries 🇫🇷 🇧🇪,Sweet Maui Onion Kettle Chips,15,7,,,,,Joshua Chan,Connie Xiong,,Helena Laguerre,Alexis Kjorvel,
Pool play,Intermediate,Group A,7,Single game,Dannel,Ballistic Brothers,Ballistic Brothers,13,15,,,,,Seadon Roza-Pereira,Dannel Tan,,Riley Foster,Dawson Foster,
Bracket Stage,Intermediate,Bracket A,Quarter-final,Single game,Ballistic Brothers,Like It Short,Ballistic Brothers,2,0,,,,,Riley Foster,Dawson Foster,,Ian Lung,Betty Yan,
Bracket Stage,Intermediate,Bracket A,Quarter-final,Single game,krue krew,French Fries 🇫🇷 🇧🇪,krue krew,2,0,,,,,Drue Nooyen,Kristy Ip,,Helena Laguerre,Alexis Kjorvel,
Bracket Stage,Intermediate,Bracket A,Quarter-final,Single game,Dannel,Sweet Maui Onion Kettle Chips,Dannel,2,0,,,,,Seadon Roza-Pereira,Dannel Tan,,Joshua Chan,Connie Xiong,
Bracket Stage,Intermediate,Bracket A,Quarter-final,Single game,Yellow Ballers,"fine ass, trust funds 🍑💵","fine ass, trust funds 🍑💵",0,2,,,,,Wayne Yan Muk,Jacky Chen,,Agnes Pang,Muellysa Timmangen,Agnes TY
Bracket Stage,Intermediate,Bracket A,Semi-final,Single game,Ballistic Brothers,"fine ass, trust funds 🍑💵",Ballistic Brothers,2,0,,,,,Riley Foster,Dawson Foster,,Agnes Pang,Muellysa Timmangen,Agnes TY
Bracket Stage,Intermediate,Bracket A,Semi-final,Single game,krue krew,Dannel,Dannel,0,2,,,,,Drue Nooyen,Kristy Ip,,Seadon Roza-Pereira,Dannel Tan,
Bracket Stage,Intermediate,Bracket A,P5: Semi-final,Single game,Yellow Ballers,Like It Short,Yellow Ballers,2,0,,,,,Wayne Yan Muk,Jacky Chen,,Ian Lung,Betty Yan,
Bracket Stage,Intermediate,Bracket A,P5: Semi-final,Single game,Sweet Maui Onion Kettle Chips,French Fries 🇫🇷 🇧🇪,Sweet Maui Onion Kettle Chips,2,1,,,,,Joshua Chan,Connie Xiong,,Helena Laguerre,Alexis Kjorvel,
Bracket Stage,Intermediate,Bracket A,Final,Single game,Ballistic Brothers,Dannel,Ballistic Brothers,2,0,,,,,Riley Foster,Dawson Foster,,Seadon Roza-Pereira,Dannel Tan,
Bracket Stage,Intermediate,Bracket A,P5: Final,Single game,Yellow Ballers,Sweet Maui Onion Kettle Chips,Yellow Ballers,2,1,,,,,Wayne Yan Muk,Jacky Chen,,Joshua Chan,Connie Xiong,
