Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Expert,Group A,4,Single game,Memory Lanes,Luh Power,Luh Power,16,21,,,,,Cole Solomon,Joseph Motto,,Carson Kurdys,Hudson Powers,
Pool Play,Expert,Group B,4,Single game,Hindsight,Pull Day,Hindsight,21,14,,,,,Peyton Stack,Noah Luskus,,Lane Morris,Justin Goldman,
Pool Play,Expert,Group B,4,Single game,And-One Mixtape,lefty flip,And-One Mixtape,21,15,,,,,Owen Bass,Braedan Thomas,,Austin Smith,Will Blass,
Pool Play,Expert,Group B,4,Single game,Green Turkey and Ham(ilton),PB&J,Green Turkey and Ham(ilton),21,20,,,,,McKenna McKean,Savannah Obert,,Joseph Gibson,Paul Berrey,
Pool Play,Expert,Group C,4,Single game,Cocoa Butter Kisses,Zen,Cocoa Butter Kisses,21,14,,,,,Grant Marshall,Brendan Ferreira,,Ben Landes,Zeke Beckford,
Pool Play,Expert,Group C,4,Single game,Kloehn/Savage,Set Fire 🔥,Kloehn/Savage,21,9,,,,,Connar Kloehn,Ben Savage,,Eli Canon,Garret Chaffins,
Pool Play,Expert,Group C,4,Single game,Barbershop,THE OLD GUYS,THE OLD GUYS,18,21,,,,,Jacob Stewart,Wyatt Koth,,Jake Scharff,Ben Jones,
Pool Play,Expert,Group D,4,Single game,Golden Millers,"Devious Little Goblins ",Golden Millers,21,13,,,,,Harrison Baisden,Nate von der Sitt,,Spencer Sexton,Austin Niles,
Pool Play,Expert,Group D,4,Single game,Walmart Creamy,Lunar,Lunar,20,21,,,,,Jeremy Lee,Colton Olvey,,Daniel Titherington,Anthony Schenk,
Pool Play,Expert,Group D,4,Single game,"Blind Date ",Premier = Retirement,Premier = Retirement,14,21,,,,,Levi Campbell,Jake Kelley,,Matthew Waisner,Adam Prudhomme,
Pool Play,Expert,Group A,5,Single game,Too Much Jamz,boner alert,Too Much Jamz,21,15,,,,,Sean Caufield,Andrew Yancey,,Jackson Smith,Isaac Mixon,
Pool Play,Expert,Group A,5,Single game,Steady Mobbin,Memory Lanes,Steady Mobbin,21,13,,,,,Parker Mckinney,Bradley Clark,,Cole Solomon,Joseph Motto,
Pool Play,Expert,Group B,5,Single game,Hindsight,And-One Mixtape,Hindsight,21,12,,,,,Peyton Stack,Noah Luskus,,Owen Bass,Braedan Thomas,
Pool Play,Expert,Group B,5,Single game,Pull Day,PB&J,PB&J,18,21,,,,,Lane Morris,Justin Goldman,,Joseph Gibson,Paul Berrey,
Pool Play,Expert,Group B,5,Single game,lefty flip,Green Turkey and Ham(ilton),lefty flip,21,14,,,,,Austin Smith,Will Blass,,McKenna McKean,Savannah Obert,
Pool Play,Expert,Group C,5,Single game,Cocoa Butter Kisses,Kloehn/Savage,Kloehn/Savage,15,21,,,,,Grant Marshall,Brendan Ferreira,,Connar Kloehn,Ben Savage,
Pool Play,Expert,Group C,5,Single game,Zen,THE OLD GUYS,Zen,21,17,,,,,Ben Landes,Zeke Beckford,,Jake Scharff,Ben Jones,
Pool Play,Expert,Group C,5,Single game,Set Fire 🔥,Barbershop,Set Fire 🔥,21,16,,,,,Eli Canon,Garret Chaffins,,Jacob Stewart,Wyatt Koth,
Pool Play,Expert,Group D,5,Single game,Golden Millers,Walmart Creamy,Golden Millers,21,20,,,,,Harrison Baisden,Nate von der Sitt,,Jeremy Lee,Colton Olvey,
Pool Play,Expert,Group D,5,Single game,"Devious Little Goblins ",Premier = Retirement,"Devious Little Goblins ",21,14,,,,,Spencer Sexton,Austin Niles,,Matthew Waisner,Adam Prudhomme,
Pool Play,Expert,Group D,5,Single game,Lunar,"Blind Date ",Lunar,21,20,,,,,Daniel Titherington,Anthony Schenk,,Levi Campbell,Jake Kelley,
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,lefty flip,"Blind Date ",lefty flip,21,16,26,24,,,Austin Smith,Will Blass,,Levi Campbell,Jake Kelley,
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,Lunar,Barbershop,Lunar,21,-1,21,-1,,,Daniel Titherington,Anthony Schenk,,Jacob Stewart,Wyatt Koth,
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,Luh Power,Memory Lanes,Luh Power,21,16,21,15,,,Carson Kurdys,Hudson Powers,,Cole Solomon,Joseph Motto,
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,Set Fire 🔥,THE OLD GUYS,Set Fire 🔥,21,16,21,19,,,Eli Canon,Garret Chaffins,,Jake Scharff,Ben Jones,
Bracket Stage,Expert,Bracket A,Round of 32,Best of 3,Premier = Retirement,Green Turkey and Ham(ilton),Premier = Retirement,21,15,21,18,,,Matthew Waisner,Adam Prudhomme,,McKenna McKean,Savannah Obert,
